,date,location,sales
0,2020-04-07,Delhi,3147
1,2020-01-03,Kolkata,9791
2,2020-05-25,Kolkata,3021
3,2020-04-29,Delhi,6455
4,2020-03-15,Delhi,7793
5,2020-04-17,Kolkata,6144
6,2020-02-26,Delhi,3499
7,2020-05-19,Delhi,8147
8,2020-04-01,Mumbai,6955
9,2020-05-15,Banglore,5155
10,2020-01-09,Banglore,8911
11,2020-05-09,Mumbai,9460
12,2020-05-07,Mumbai,5116
13,2020-04-29,Mumbai,2673
14,2020-05-26,Kolkata,3134
15,2020-03-21,Banglore,8718
16,2020-02-29,Mumbai,7084
17,2020-04-14,Kolkata,3029
18,2020-02-24,Mumbai,6320
19,2020-02-13,Delhi,8881
20,2020-03-01,Mumbai,6505
21,2020-02-25,Mumbai,7928
22,2020-03-30,Banglore,9434
23,2020-03-10,Kolkata,6406
24,2020-02-21,Delhi,3990
25,2020-05-12,Delhi,6286
26,2020-04-21,Kolkata,7445
27,2020-04-25,Kolkata,9705
28,2020-04-05,Kolkata,8370
29,2020-04-21,Delhi,3199
30,2020-05-11,Delhi,4425
31,2020-04-05,Delhi,7856
32,2020-02-27,Banglore,2343
33,2020-05-03,Banglore,4376
34,2020-04-13,Kolkata,5405
35,2020-04-15,Banglore,5672
36,2020-02-17,Mumbai,4469
37,2020-03-09,Banglore,8434
38,2020-04-13,Banglore,4854
39,2020-01-10,Delhi,6713
40,2020-01-31,Banglore,8119
41,2020-04-23,Kolkata,7204
42,2020-03-27,Kolkata,6464
43,2020-05-22,Delhi,5790
44,2020-04-08,Banglore,4206
45,2020-02-05,Banglore,6154
46,2020-05-23,Banglore,6843
47,2020-01-25,Kolkata,8534
48,2020-01-24,Mumbai,6835
49,2020-04-03,Kolkata,7457
50,2020-01-07,Mumbai,7332
51,2020-02-01,Mumbai,4436
52,2020-04-04,Kolkata,7207
53,2020-03-23,Kolkata,3469
54,2020-02-17,Banglore,3005
55,2020-02-29,Delhi,5245
56,2020-02-22,Mumbai,2102
57,2020-05-30,Kolkata,7109
58,2020-05-20,Delhi,2525
59,2020-02-21,Kolkata,7139
60,2020-02-16,Kolkata,6945
61,2020-05-12,Mumbai,7393
62,2020-02-06,Banglore,9930
